time,value,lag_1,lag_2,rolling_mean,rolling_std,anomaly,pred,score,diff,deviation,abs_dev,anomaly_type,adjusted_pred
0,50.993428306022466,70.93106820242826,70.66186462158187,56.13702414987805,3.5454400979811593,0.0,0,-0.02859367572177618,0.0,-5.143595843855586,5.143595843855586,normal,0
1,51.026803733300675,50.993428306022466,70.93106820242826,56.13702414987805,3.5454400979811593,0.0,0,-0.05914943924608951,0.03337542727820875,-5.110220416577377,5.110220416577377,normal,0
2,53.882275947849934,51.026803733300675,50.993428306022466,56.13702414987805,3.5454400979811593,0.0,0,-0.11374311998644854,2.855472214549259,-2.254748202028118,2.254748202028118,normal,0
3,56.87730523966283,53.882275947849934,51.026803733300675,56.13702414987805,3.5454400979811593,0.0,0,-0.11732802952699001,2.995029291812898,0.74028108978478,0.74028108978478,normal,0
4,54.549229991570485,56.87730523966283,53.882275947849934,56.13702414987805,3.5454400979811593,0.0,0,-0.12504132873564028,-2.328075248092347,-1.5877941583075668,1.5877941583075668,normal,0
5,55.659578609026376,54.549229991570485,56.87730523966283,56.13702414987805,3.5454400979811593,0.0,0,-0.13182835819988975,1.110348617455891,-0.4774455408516758,0.4774455408516758,normal,0
6,60.30389669030167,55.659578609026376,54.549229991570485,56.13702414987805,3.5454400979811593,0.0,0,-0.12365255744900011,4.644318081275294,4.166872540423618,4.166872540423618,normal,0
7,59.59000188606372,60.30389669030167,55.659578609026376,56.13702414987805,3.5454400979811593,0.0,0,-0.12907315964881955,-0.7138948042379525,3.452977736185666,3.452977736185666,normal,0
8,57.90433048315025,59.59000188606372,60.30389669030167,56.13702414987805,3.5454400979811593,0.0,0,-0.13926519167236423,-1.6856714029134707,1.7673063332721952,1.7673063332721952,normal,0
9,60.58339061183213,57.90433048315025,59.59000188606372,56.13702414987805,3.5454400979811593,0.0,0,-0.13777805344122446,2.6790601286818827,4.446366461954078,4.446366461954078,normal,0
10,59.08372977732661,60.58339061183213,57.90433048315025,56.94605429700847,3.1413462693494933,0.0,0,-0.13008731912716937,-1.4996608345055193,2.137675480318137,2.137675480318137,normal,0
11,59.44141300014637,59.08372977732661,60.58339061183213,57.787515223693035,2.4248993190006036,0.0,0,-0.12632221430432183,0.35768322281975884,1.6538977764533342,1.6538977764533342,normal,0
12,61.06419182741479,59.44141300014637,59.08372977732661,58.50570681164952,2.1921312450388886,0.0,0,-0.13230364023831348,1.6227788272684194,2.558485015765271,2.558485015765271,normal,0
13,56.80370679496712,61.06419182741479,59.44141300014637,58.498346967179955,2.1983207041162056,0.0,0,-0.12398632722075537,-4.260485032447669,-1.6946401722128357,1.6946401722128357,normal,0
14,57.07303684226083,56.80370679496712,61.06419182741479,58.75072765224898,1.8040863870208268,0.0,0,-0.11346726737645002,0.2693300472937068,-1.6776908099881567,1.6776908099881567,normal,0
15,59.13599010446959,57.07303684226083,56.80370679496712,59.09836880179331,1.4405720425355264,0.0,0,-0.09963389656551841,2.062953262208765,0.03762130267627839,0.03762130267627839,normal,0
16,57.82260828399134,59.13599010446959,57.07303684226083,58.850239961162266,1.4234472429398162,0.0,0,-0.1023638221309689,-1.3133818204782486,-1.0276316771709233,1.0276316771709233,normal,0
17,59.9217739202107,57.82260828399134,59.13599010446959,58.883417164576976,1.446288296621258,0.0,0,-0.10575558190895562,2.099165636219354,1.0383567556337212,1.0383567556337212,normal,0
18,56.78908427671547,59.9217739202107,57.82260828399134,58.7718925439335,1.568048703815136,0.0,0,-0.10393710004212064,-3.132689643495226,-1.9828082672180258,1.9828082672180258,normal,0
19,54.97086365661631,56.78908427671547,59.9217739202107,58.210639848411915,1.830156037905685,0.0,0,-0.10399338839773414,-1.8182206200991615,-3.239776191795606,3.239776191795606,normal,0
20,59.80915006076784,54.97086365661631,56.78908427671547,58.28318187675603,1.8822435054422229,0.0,0,-0.11167658413410264,4.838286404151532,1.5259681840118091,1.5259681840118091,normal,0
21,55.415984140044074,59.80915006076784,54.97086365661631,57.88063899074581,2.031542416202158,0.0,0,-0.1066815867560621,-4.393165920723767,-2.4646548507017343,2.4646548507017343,normal,0
22,54.91630193622263,55.415984140044074,59.80915006076784,57.265850001626596,1.8861221769366487,0.0,0,-0.10225833734962564,-0.49968220382144324,-2.3495480654039653,2.3495480654039653,normal,0
23,50.78740249922164,54.91630193622263,55.415984140044074,56.66421957205203,2.791937315378874,0.0,0,-0.11435271732956565,-4.128899437000989,-5.8768170728303915,5.8768170728303915,normal,0
24,51.364566886592684,50.78740249922164,54.91630193622263,56.09337257648523,3.245762191939991,0.0,0,-0.11064034502628756,0.5771643873710417,-4.728805689892546,4.728805689892546,normal,0
25,51.47184517941973,51.364566886592684,50.78740249922164,55.326958083980244,3.350652211413576,0.0,0,-0.11334709280471555,0.10727829282704704,-3.8551129045605137,3.8551129045605137,normal,0
26,47.74468050951235,51.47184517941973,51.364566886592684,54.31916530653234,3.9741949939489163,0.0,0,-0.08800984888486457,-3.7271646699073813,-6.574484797019991,6.574484797019991,normal,0
27,49.6144971650428,47.74468050951235,51.47184517941973,53.288437631015555,3.685839513629284,0.0,0,-0.10005879637260628,1.8698166555304496,-3.6739404659727555,3.6739404659727555,normal,0
28,46.517477093315605,49.6144971650428,47.74468050951235,52.26127691267557,4.018146401487892,0.0,0,-0.06656129650387249,-3.0970200717271936,-5.743799819359964,5.743799819359964,normal,0
29,46.0490757593963,46.517477093315605,49.6144971650428,51.36909812295356,4.328192559020928,0.0,0,-0.060079652541782325,-0.46840133391930294,-5.320022363557257,5.320022363557257,normal,0
